Dodic,Nomenclature
A011,""" 12 GAGE SHOTGUN 00 BUCKSHOT"""
A059,""" 5.56MM BALL"""
A062,""" 5.56MM BALL LKD F/SAW"""
A063,""" 5.56MM TR"""
A075,""" 5.56MM BLANK LKD F/SAW"""
A080,""" 5.56MM BLK"""
A111,""" 7.62MM BLNK LNKD"""
A122,""" 7.62MM BALL CTN&CLIP"""
A143,""" 7.62MM BALL LINKED"""
A191,""" .300 CAL WIN MAG MATCH"""
A531,""" .50 CAL API M8 CTN PK F/M2"""
A555,""" .50 CAL BALL M33"""
A557,""" .50 CAL 4 BALL/1 TRCR LKD """
A598,""" .50 CAL BLNK F/M2"""
AA11,""" 7.62MM NATO BALL SNGL RD"""
AA49,""" 9MM BALL"""
AA53,""" 5.56MM SPECIAL MATCH MK"""
AA68,""" 5.56MM SR TRAIN"""
AB09,""" 5.56MM  BLUE UTM"""
AB10,""" 5.56MM  RED UTM"""
AB13,""" 9MM BLUE SIMS"""
AB14,""" 9MM RED SIMS"""
AB16,""" 5.56MM BLUE UTM LKD F/SAW"""
AB17,""" 5.56MM RED UTM LKD F/SAW"""
AB39,""" 7.62MM"""
AB57,""" 5.56MM BALL"""
AB58,""" 5.56MM BALL"""
AB73,""" 5.56MM LKD (4:1) """
AB74,""" 5.56MM TRCR"""
AB77,""" 5.56MM BALL BROWN TIP"""
AB79,""" 7.62MM BALL LINKED, LEAD FREE"""
AB86,""" 7.62MM 4 BALL/1 TR LINKED, LEAD FREE"""
B519,""" 40MM PRAC"""
B535,""" 40MM WHITE STAR PARA (ILLUM)"""
B542,""" 40MM HEPD LKD (MK 19)"""
B546,""" 40MM HEDP LOWVEL LCHD"""
C445,""" 105MM HE M1 W/O FZ"""
C454,""" 105MM WP SMK M60 W/FZ"""
C479,""" 105MM HC SMK W/O FZ"""
C541,""" 105MM ILL F/HOW W/O FUZE"""
D505,"""PROJ, 155MM ILLUM """
D528,"""PROJ, 155MM SMK """
D550,"""PROJ, 155MM WP"""
DA12,"""PROP 155MM """
DA51,"""PROJ, 155MM HE IM TRAINING  W/O FUZE"""
G841,""" 5.56MM GREN """
G878,"""FUZE, M228 F/G811"""
G881,"""HG, FRAGMENTATION"""
G911,"""HG, OFF MK3A2"""
G940,"""HG, SMK GRN"""
G945,"""HG, SMK YEL"""
G950,"""HG, SMK RED"""
G955,"""HG, SMK VIOL"""
G963,"""HG, RIOT CS"""
G982,"""HG, SMK TNG"""
GG12,"""RIFLE LAUNCHED ENTRY MUNITION"""
GG18,"""HG, BODY NON-LETHAL (STUN) PRAC"""
GG19,"""FUZE, HG NON-LETHAL """
GG25,"""GRENADE, HAND SMOKE"""
J007,"""MINE, APERS-T"""
K511,"""SMK POT, FLOATING, PRACTICE"""
K765,"""RIOT CNTRL AGENT CS CAPSULE"""
K768,"""RIOT CONTROL AGENT CS1"""
L119,"""SIG KIT, PERS DIST FOL PENT"""
L283,"""SIG SMK & ILLUM MARINE"""
L305,"""SIG, ILLUM GS PARA"""
L306,"""SIG, ILLUM RS CLUSTER"""
L307,"""SIG, ILLUM WS CLUSTER"""
L311,"""SIG, ILLUM RED PARA """
L312,"""SIG, ILLUM WS PARA"""
L314,"""SIG, ILLUM GRN STAR"""
L495,"""FLARE, SURFACE TRIP"""
L594,"""SIM, PROJ GRND BURST """
L598,"""SIM, BOOBYTRAP FLASH """
L599,"""SIM, BOOBYTRAP ILLUM """
L600,"""SIM, BOOBYTRAP WHIS"""
L601,"""SIM, HAND GREN"""
LA06,"""SIM, MAIN TANK GUN """
LA07,"""SIM, DIRECT/INDIRECT FIRE W/STARS"""
M023,"""DEMO BLK 1-1/4# C4 """
M028,"""DEMO KIT, BANGALORE TORP"""
M030,"""DEMO BLK 1/4LB TNT"""
M039,"""DEMO 40LB CRATERING"""
M130,"""CAP, BLST ELEC M6"""
M131,"""CAP, BLST NON-ELEC M7"""
M421,"""DEMO SHAPED 40LB M3 SERIES"""
M456,"""CORD, DET TYPE-1"""
M670,"""FUZE, BLST TIME"""
ML03,"""FRNG DEV, DEMO"""
ML45,"""HOLDER, BLAST CAP & SHOCK TUBE"""
ML47,"""CAP, BLST NON-ELEC 30FT SHK TUBE """
MN06,"""CAP, BLASTING DELAY"""
MN08,"""IGNITER, BLST TIME FUSE"""
MN68,"""BOOSTER, DEMO ECT  10FT DET CORD """
MN69,"""BOOSTER, DEMO ECT 30FT DET CORD"""
MN88,"""CAP, BLST NON-ELEC W/500FT """
N289,"""FUZE, ELECTRONIC TIME"""
N340,"""FUZE, PD"""
N523,"""PRIMER, PERC"""
NA17,"""FUZE, ELECTRONIC TIME"""
Z200,"""OP-4, 5.45 X 39 BALL"""
Z202,"""OP-4, 7.62 X 25 MM BALL"""
Z203,"""OP-4, 7.62 X 39 BALL"""
Z204,"""OP-4, 7.62 X 39 BLANK"""
Z205,"""OP-4, 7.62 X 54 MM BALL"""
Z208,"""OP-4, 9X18 MM BALL MAKAROV"""
Z210,"""OP-4, 12.7 X 108 MM LINKED"""
Z219,"""OP-4, RKT RPG-7"""
B118,""" 30MM TP"""
DWBJ,"""ADAPTER, INITIATOR PYROTECH LEAD"""
GG20,"""HG, STUN"""
GG21,"""HG, (ASM)"""
HA13,"""RKT, 2.75"" PRAC M274"""
HA21,"""ROCKET, 21MM SUB-CALIBER"""
HA48,"""RKT, 66MM LAW ASM"""
MN14,"""FRNG DEV, DEMO MK54"""
MW49,"""CONNECTOR, DET CORD PLASTIC"""
X065,""" 12 GA SMOKELESS BLANK PRO"""
X104,""" 12 GA BREECHING F/AUTO"""
X113,""" 4.6MM BALL"""
X196,""" 40 CAL 180 GRS&W BAU"""
X236,""" 9MM RED DYE"""
X237,""" 9MM BLUE DYE"""
X338,""" 5.56MM FRANGUBKE 33 GR"""
X344,""" .338 CAL 300 GR."""
X455,"""BOOSTER, SLIP ON PETN"""
X467,"""FRNG DEV, INTEGRAL 14 FT"""
X470,"""ECT 300GR/FT"""
X471,"""ECT 600 GR/FT"""
X472,"""ECT 1200 GR/FT"""
X473,"""ECT 2400 GR/FT"""
X474,"""ECT 5400 GR/FT"""
X479,"""ECT, 3600 GR/FT"""
X480,"""FIRING DEVICE, DEMO DUAL 50 FT"""
X481,"""FIRING DEVICE, DEMO DUAL 100 FT"""
X506,"""GREN, HAND OFFENSIVE 9N"""
X577,"""INITIATOR, SHOCK TUBE SINGLE STI """
X601,"""DET, NON-ELEC 1000FT  .085 DT"""
X604,"""DET, NON-ELEC 20FT """
X605,"""DET, NON-ELEC 40FT """
X606,"""DET, NENEL 60 FT CLEAR MINI-TU"""
X607,"""DET, NON-ELEC 100FT  """
X608,"""DET, NON-ELEC 2M """
X611,"""DET, NONEL 2M """
X616,"""DET, NONEL 2M  9.6 SEC """
X640,"""DEMO SHEET C-1"""
X643,"""DEMO SHEET .083""  C-2"""
X646,"""DEMO SHEET .125""  C-3"""
X649,"""DEMO SHEET ROLL, C-6"""
X673,"""SATCHEL"""
X699,"""FLASH BANG, 9-BANG SOUND FLASH"""
X700,"""FLASHBANG, TRAINING BOBY"""
X701,"""FLASHBANG, TRAINING RELOAD"""
X964,"""Charge, Demo Sheet, .42"" Thick, C-1"""
XB01,""" 5.56MM LEADFREE"""
AA01,""" 5.56MM   LNKD"""
AA02,""" 5.56MM 4  /1 TR  """
AA03,"""7.62MM   SNGL RD"""
AA04,""" 7.62MM 4  /1 TR M62"""
AA05,""" CAL .50 1 API MK211-0/1  M2/1 API-T M20"""
AA06,""" CAL .50 1 API/1 AP/1 API/1 AP/1 API-T"""
AA07,""" CAL .50 1 API MK211-1/1  M2/1 API-DT M20"""
AA08,""" 5.56MM 4 BALL M885/1 DT XM996"""
AA09,""" 5.56MM, M996, DIM TRACER"""
AA10,""" 25MM TPF-T PGU-33/U"""
AA11,""" 7.62MM NATO SPEC BALL M118 SNGL RD"""
AA12,""" 9MM FX MKG RED"""
AA14,""" CAL .45 JCKTD H-P"""
AA16,""" 9MM FRANGIBLE MK254-0"""
AA17,""" 5.56MM RRLP MK255-0/1"""
AA18,""" CAL .45 +P FULL METAL JACKET"""
AA19,""" CAL .357 MAGNUM FMJ"""
AA21,""" 9MM FX MKG BLUE"""
AA22,""" 20MM SAPHEI PGU-28A/B SNGL RD"""
AA23,""" 20MM SAPHEI PGU-28A/B LNKD"""
AA24,""" 20MM TP PGU-27A/B SNGL RD"""
AA25,""" 20MM TP PGU-27A/B LNKD"""
AA26,""" 20MM 4 SAPHEI PGU-28A/B/1 TP-T PGU-30A/B"""
AA27,""" 20MM 4 TP PGU-27A/B/1 TP-T PGU 30A/B"""
AA28,""" 20MM TP-T PGU 30A/B LNKD"""
AA29,""" 12 GAGE BEAN BAG; “N-L”"""
AA30,""" 12 GAGE GRENADE LAUNCHING; “N-L”"""
AA31,""" 12 GAGE FIN STABILIZED; “N-L”"""
AA32,""" 6MM (CAL .22) BLANK"""
AA33,""" 5.56MM BALL     COMMERCIAL PACK"""
AA34,""" 7.62MM 9  /1 DIM TR M276"""
AA35,""" 7.62MM 4  /1 DIM TR M276"""
AA36,""" 7.62MM 9  /1 TR M62"""
AA37,""" 7.62MM 4 SRTA M973/1 SRTA-T M974"""
AA38,""" CAL .50 SLAP-T XM/M962 SNGL RD"""
AA39,""" 7.62MM 4 SRTA M973/1 SRTA-T M974"""
AA40,""" 5.56MM JACKETED FRANGIBLE SNGL RD, MK311"""
AA41,""" CAL .50 API MK211-1"""
AA42,""" CAL .50 API-DT MK257-0"""
AA40,""" CAL 5.56MM FRANGIBLE, MK 311 MOD 2"""
AA44,""" 5.56MM BALL, LEAD FREE SLUG (LFS),   LNKD"""
AA45,""" 5.56MM BALL, LEAD FREE SLUG (LFS),    """
AA48,""" 5,56MM BALL, LFS,     COMMERCIAL PACK"""
AA49,""" 9MM BALL M882"""
AA50,""" CAL .50 1 API/1 AP/1 API/1 AP/1 API-DT"""
AA51,""" 12 GAGE POINT CONTROL M1012; “N-L”"""
AA52,""" 12 GAGE CROWD DISPERSION M1013; “N-L”"""
AA53,""" 5.56MM SPEC BALL LR MK262-0, 1"""
AA54,""" 12 GAGE BREACHING M1030"""
AA58,""" CAL .50  MK263-0"""
AA60,""" 12 GAGE 3 IN 00 BUCK"""
AA61,""" 20MM APDS MK244-0"""
AA62,""" 12 GAGE MK274-0 UVS EOD USE (1385)"""
AA63,""" 12 GAGE MK275-0 IEDSD EOD USE (1385)"""
AA64,""" 12 GAGE BLANK MK276-0 EOD (1385)"""
AA65,""" 30MM X 173MM 1 TP-T MK239-0/1 TP PGU-15/B"""
AA66,""" 12 GAGE MK278-0 IEDSD EOD USE (1385)"""
AA67,""" 5.56MM SPEC MATCH MOLYBDENUM COATED"""
AA68,""" 5.56MM SR TRNG M862"""
AA69,""" 5.56MM    """
AA71,""" 30MM X 173MM APFSDS-T MK258-0"""
AA72,""" 30MM X 173MM APFSDS-T MK268-0"""
AA79,""" 20MM 4 TP PGU-27A/B 1 TP-T PGU-30A/B"""
AA80,""" 12 GAGE 3 IN RUBBER BATON FS; “N-L”"""
AA81,""" 12 GAGE 3 IN RUBBER BALL; “N-L”"""
AA82,""" 12 GAGE NON-TOXIC FRANGIBLE NO.00"""
AA85,""" 5.56MM FRANGIBLE LINKED"""
AA87,""" 9X21MM, 122 GRAIN LEAD, Q4270"""
AA88,""" 9X21MM, 124 GRAIN FULL METAL JACKET Q4269"""
AA86,""" 12 GAGE MK286-0 00 BUCK FRANGIBLE"""
AA90,""" 30MM X 173MM TP-T MK239-0 LNKD"""
AA91,""" 5.56MM MK289-0 FX MKG BLUE"""
AA92,""" 5.56MM MK293-0 FX MKG RED"""
AA94,""" 30MM X 173MM TP PGU-15/B LNKD"""
AA96,""" 20MM HEIT-SD M246 LINKED"""
AA98,""" 25MM 1 HEI-T MK210-1/2/1 SAPHEI-T PGU-32/U"""
AA99,""" 5.56MM MK301-0 DIM TR SNGL RD"""
AB03,""" 5.56MM 4 BALL  /1 DIM TR MK301-0"""
AB04,""" 5.56MM 4  /1 DIM TR MK301-0"""
AB05,""" 5.56MM MK302-0 FX MKG BLUE MK302-1"""
AB06,""" 5.56MM FX MKG RED MK303-1"""
AB07,""" 20MM MPT-SD M940"""
AB09,""" 5.56MM,   BLUE, PRACTICE """
AB10,""" 5.56MM,   RED, PRACTICE """
AB11,""" 5.56MM,   YELLOW, PRACTICE """
AB12,""" 9MM,  YELLOW, PRACTICE"""
AB13,""" 9MM,  BLUE,  PRACTICE"""
AB14,""" 9MM,  RED, PRACTICE"""
AB15,""" 5.56MM,   YELLOW, LINKED, PRACTICE"""
AB16,""" 5.56MM,   BLUE, LINKED, PRACTICE"""
AB17,""" 5.56MM,   RED, LINKED, PRACTICE F/SAW"""
AB18,""" 30MM HEI PGU-13B/B W/MK15 LINKS"""
AB19,""" 30MM HEI PGU-13A/B CLIPPED"""
AB20,""" 30MM API PGU-14C/B “DU”"""
AB22,""" 30MM HEI PGU-14B/B"""
AB30,""" CAL .50 4 API M8/1 API-DT MK257-0"""
AB33,""" 5.56MM   SNGL RD"""
AB34,""" 7.62MM   SNGL RD"""
AB35,""" CAL .50 4 BALL M33/1 TR M17"""
AB39,""" 7.62MM, MK316-0, SPECIAL BALL, LONG RANGE"""
AB43,""" .300 WIN MAG MATCH, MK 248 MOD1"""
AB44,""" 30mm X 173mm LINKED, HEI-T, MK 266 MOD 1"""
AB49,""" 5.56MM, BALL, CARBINE, BARRIER, MK 318 MOD 0"""
AB50,""" 7.62MM, MK319-0, BALL, RIFLE, BARRIER"""
AB51,""" 30MM X 173MM, APFSDS-T, MK258 MOD 1"""
AB56,""" 5.56MM BALL  A1, M27 LINKED"""
AB57,""" 5.56MM BALL  A1, 10 ROUND CLIP"""
